stock_level_units,storage_duration_days,product_category,product_value_usd,storage_type,inventory_turnover,insurance_rate_percent,obsolescence_risk,storage_rent_usd_per_month,handling_cost_per_unit,security_level,seasonality,supplier_reliability,holding_cost_usd
4347.0,198.0,Electronics,235.18939464929596,Outdoor,8.231647765545802,0.8686163139239682,,3.662197718934862,0.1465578861839014,High,Seasonal,High,36659.687064670456
19949.0,306.0,Automotive,1959.609901634658,Climate Controlled,9.341862146793792,2.8313064862796895,Medium,8.532064240577526,1.4378191850947035,Standard,Seasonal,High,33857.54270715161
1063.0,83.0,Pharmaceuticals,2558.4359664230865,Outdoor,,1.7504821012808134,Medium,2.8413101144073027,2.2282920143674207,Basic,Seasonal,Medium,24679.50976538498
2607.0,98.0,Automotive,3656.3203166892436,Outdoor,7.669159814532694,0.8829855246314701,High,3.3429393645856424,4.843317471823608,Standard,Non-Seasonal,Medium,20053.77501251411
10866.0,83.0,Pharmaceuticals,1423.1967570450583,Outdoor,3.1052280096602525,1.3466548315484932,,3.976707737133301,0.7331989984099391,High,Non-Seasonal,Medium,10528.34416608674
31678.0,332.0,Pharmaceuticals,4941.503872571032,Warehouse,1.8640827540646914,1.68382791314708,High,7.176969283748654,0.2854243593849066,High,High Seasonality,,23448.925644203864
2365.0,312.0,Automotive,771.4441162702035,Climate Controlled,10.587436030515844,2.863700766373373,Low,6.244573982969255,1.1482732656073389,High,Non-Seasonal,Medium,750.9353191303217
3085.0,255.0,Clothing,1177.3368434444574,Climate Controlled,9.273937963902997,0.9507434205290844,Low,4.273571672280877,2.1494208444256984,High,High Seasonality,High,48047.66711301856
39761.0,102.0,Automotive,2454.389079115058,Warehouse,8.831377673806308,2.911696889658645,Low,6.024641116276318,3.4301802176350895,Maximum,High Seasonality,Low,2741.154181195843
,47.0,Food,1310.4396094156025,Warehouse,2.073375133956098,0.8671414145505945,Medium,1.7222561451030658,1.4183100389416043,Basic,High Seasonality,High,25602.11712360127
16986.0,220.0,Food,3785.8432483436,Climate Controlled,5.138196929017236,2.8498450532800463,Low,2.3805924218526267,2.1944467190745325,Standard,Seasonal,Low,15761.647003409698
10299.0,104.0,Food,336.4111395012203,Refrigerated,9.662476692922931,2.996342180458679,Medium,2.2287438606865257,1.6742244772309636,High,Seasonal,Low,44660.89406031564
